產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"航運業","2643","捷迅","61380","74","829","802","3.37%","687","673","2.08%","6.11","972","2.93","N","Y","N","本公司雖屬航運業，但以物流相關服務為主軸，因經營模式、市場規模及行業屬性的不同，薪酬行情本不應與航空及海運比較，本公司平均薪酬水準屬同業市場行情。","每年定期調薪及獎酬以凝聚員工之向心力。",
"建材營造","2718","全心投控","35965","30","1199","937","27.96%","888","694","27.95%","35.33","1007","3.22","N","N","N","","",
"觀光餐旅","2719","燦星旅","60957","98","622","567","9.70%","528","442","19.46%","1.26","636","1.19","N","Y","N","111年 ~ 113年的全時員工薪資平均數逐年增加，且公司經營績效亦逐年變好，故公司經營績效與員工薪酬之關聯性成正比。","經114年5月28日股東會決議通過「修訂公司章程部分條文案」，針對基層員工部分，另提撥不低於百分之零點一為基層員工調整薪資或分派酬勞。但公司尚有累積虧損時，應預先保留彌補數額。",
"觀光餐旅","2729","瓦城","863794","1252","690","646","6.81%","620","582","6.53%","9.01","636","1.19","N","N","N","","",
"觀光餐旅","2732","六角","127853","203","630","600","5.00%","524","496","5.65%","4.79","636","1.19","N","Y","N","儘管本公司113年度每股盈餘（EPS）相較112年度略有下降，但公司仍堅持「以人為本、照護員工」的經營理念，持續提升非經理人員之薪資水準，以落實永續經營與社會責任。","為持續照顧員工並提升整體薪酬競爭力，本公司將推動以下具體措施：
1.持續調升薪資水準
2.優化績效獎酬制度
3.強化職涯發展與培訓",
"觀光餐旅","2734","易飛網","91707","158","580","593","-2.19%","500","522","-4.21%","1.00","636","1.19","N","N","Y","因疫情後旅遊市場復甦帶動113年營收回升，惟受人力結構調整及成本控管影響，新進人員占比提高，部分薪資未調整，導致薪資未達平均水準。未來將持續優化薪酬結構，強化績效連結，以提升整體薪資水準。","自114年度起已優化薪酬結構，針對基層與關鍵職務逐步調薪，強化獎酬與績效連結，並逐年檢討薪酬政策，提升公平性、競爭力與員工向心力，進而提升整體薪資水準。",
"觀光餐旅","2736","富野","83234","187","445","421","5.70%","400","379","5.54%","-1.77","636","1.19","Y","N","N","主要係因服務業人力招募不易,以臨時員工補充人力缺口,故整體薪資結構偏低","目前集團採調整薪資水平、參與人才招募活動，並透過國際實習生計畫申請的方式補足人力需求",
"觀光餐旅","2740","天蔥","49907","85","587","636","-7.70%","505","556","-9.17%","-4.65","636","1.19","N","N","N","","",
"觀光餐旅","2743","山富","206423","280","737","644","14.44%","599","528","13.45%","7.24","636","1.19","N","N","N","","",
"觀光餐旅","2745","五福","271888","392","694","654","6.12%","575","548","4.93%","9.07","636","1.19","N","N","N","","",
"觀光餐旅","2751","王座","206056","366","563","0","0.00%","523","0","0.00%","4.55","636","1.19","N","Y","N","本公司因應餐飲業特性，營運仰賴大量兼職人力，尤其尖峰時段需彈性調度，致兼職占比高，影響薪資平均數。此外，基層全職人力進用門檻較彈性，也拉低平均薪資，與同業結構差異致平均數略低。","本公司每年依基本工資調整薪資，並優於法定標準。正職員工實施年度調薪，依績效與市場趨勢調整，確保薪酬具競爭力。並強化訓練與職涯發展，提升留任率與整體薪資水準。",
"觀光餐旅","2752","豆府","554914","896","619","594","4.21%","560","528","6.06%","15.66","636","1.19","N","Y","N","因展店需求，2024年招募較多新進員工，本公司較去年度非經理人之全時員工薪資平均數增加4%，成長幅度與同業平均相當。","1.2024年5月起每月提供正職員工餐點數3000點，點數等同金額，可抵用值班餐費，該福利未列入薪資費用。
2.2025年久任獎金由2萬元提高至2萬4千元。
3.每年調薪持續提升員工薪資福利。",
"觀光餐旅","2754","亞洲藏壽司","366537","542","676","620","9.03%","481","421","14.25%","2.31","636","1.19","N","N","N","","",
"觀光餐旅","2755","揚秦","240495","339","709","665","6.62%","607","564","7.62%","5.84","636","1.19","N","N","N","","",
"觀光餐旅","2756","聯發國際","73311","92","797","778","2.44%","609","674","-9.64%","2.41","636","1.19","N","N","N","","",
"居家生活","2916","滿心","335271","618","543","544","-0.18%","480","486","-1.23%","4.19","694","8.76","N","N","N","","",
"文化創意業","2926","誠品生活","828585","1083","765","739","3.52%","632","602","4.98%","0.27","1357","7.81","N","N","N","","",
"居家生活","2937","集雅社","278639","352","792","719","10.15%","674","609","10.67%","3.86","694","8.76","N","N","N","","",
"居家生活","2941","米斯特","100249","201","499","448","11.38%","444","411","8.03%","3.31","694","8.76","Y","N","N","本公司為零售業，因應113年度持續展店，新進人員人數明顯增加，致使基層人員於薪資結構中占比較高，進而影響整體平均薪資水準。","因應113年度展店導致新進基層人員比例上升、影響整體平均薪資之情形，未來將透過優化人力結構、推動內部晉升、逐步補足中高階職缺，同時定期檢視薪資結構與市場水準，以確保人力資源配置與薪資體系之平衡與合理性。",
"居家生活","2947","振宇五金","313157","654","479","473","1.27%","431","423","1.89%","3.46","694","8.76","Y","N","N","本公司屬零售業形態，基層人員比例高，招募對象多元開放，重視人員學習與工作配合度；因應113年度展店數及南方倉儲物流中心啟用，較多新進人員與社會新鮮人加入，尚在工作培訓及環境適應階段，影響整體平均薪資。","本公司員工薪酬調整依營運績效及行業市場行情為依據，113年度營收與獲利均穩定成長，進行全體調薪，平均薪資調幅為3.2%。本公司每年定期檢視市場薪資水準與各項統計資料，持續研擬員工薪資福利制度調整及優化。",
"居家生活","2948","寶陞","15630","18","868","893","-2.80%","849","803","5.73%","2.19","694","8.76","N","N","N","","",
