產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"塑膠工業","1310","台苯","160862","174","924","938","-1.49%","838","849","-1.30%","-1.37","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","N","N","","",
"塑膠工業","1312","國喬","337587","351","962","992","-3.02%","867","887","-2.25%","-3.97","            951","不適用","-","          1,059","不適用","-","            865","不適用","-","          1,039","不適用","-","1235","-0.80","N","N","N","","",
"塑膠工業","1313","聯成","277743","219","1268","1249","1.52%","1168","1145","2.01%","-1.17","          1,282","不適用","-","          1,229","不適用","-","          1,166","不適用","-","          1,175","不適用","-","1235","-0.80","N","N","N","","",
"塑膠工業","1314","中石化","821612","917","896","849","5.54%","816","781","4.48%","-0.78","            912","不適用","-","            818","不適用","-","            829","不適用","-","            744","不適用","-","1235","-0.80","N","Y","N","1. 本公司薪酬依職務、績效及市場水準訂定，並與經營績效連動。
2. 2025年度因受整體經濟與營運環境波動影響，獲利較前一年度有所下滑，薪資調整致與同業產生短期落差，符合公司薪酬政策之營運風險共擔原則。","本公司重視人才，將持續優化獎酬制度、強化關鍵人才留任及員工福祉，並於獲利回升時適時調整薪資結構，與員工共享經營成果。",
"塑膠工業","1315","達新","214063","332","645","636","1.42%","590","583","1.20%","1.55","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","Y","N","1.依學經歷、職等及薪資敘薪標準核薪，秉持共享營運績效原則，並逐年依公司營運狀況適時調整。
2.營業項目塑膠製品67.06%
3.外籍員工占全體員工13.86%
4.上述說明，成長優於同業、較同業標準低，係屬合理。","1.本公司產品多樣，塑膠製品占6成，相較同業資訊，衡量基礎不同。
2.提升整體團隊對長期績效之責任與擔當，共創營運佳績。",
"建材營造","1316","上曜","30555","36","849","757","12.15%","605","540","12.04%","-0.52","          1,242","不適用","-","            778","不適用","-","            968","不適用","-","            581","不適用","-","963","2.29","N","N","N","","",
"汽車工業","1319","東陽","2778348","3624","767","797","-3.76%","624","648","-3.70%","6.43","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","890","4.02","N","Y","N","公司為汽車上游零組件業，勞力密集生產型態，外籍員工佔總人數近四成，影響整體平均薪資水準；每年依營運及獲利持續調薪，近年平均年薪自58.9萬(2018年)調至76.7萬(2025年)，增幅約30%。2025年人事費用成長4.28%。","公司後續仍將視營運狀況不斷檢討、提升員工薪酬福利，2026年人事費用成長預計可達3.6%。",
"塑膠工業","1321","大洋","337525","429","787","786","0.13%","732","728","0.55%","-1.25","            783","不適用","-","            816","不適用","-","            737","不適用","-","            689","不適用","-","1235","-0.80","N","N","N","","",
"塑膠工業","1323","永裕","378529","620","611","595","2.69%","583","529","10.21%","0.26","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","Y","N","1.永裕為塑膠製品業，就營運規模、產業特性與塑膠原料商大量化生產模式不同。
2.永裕為塑膠製品業，員工產值偏低。","不適用(114年員工薪資平均數及中位數皆較前一年增加)",
"塑膠工業","1324","地球","123174","207","595","562","5.87%","493","453","8.83%","-0.82","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","N","N","","",
