產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"紡織纖維","1473","台南","190943","342","558","532","463","451","2.06","730","1.47","N","Y","N","1.本公司薪酬制度除保障年薪13個月外，營運獲利另發放員工績效獎金。
2.基層作業與縫製相關人員占比四成以上，且外勞占比超過5%以上，因基層直接作業人員占比高致平均薪資較低",
"紡織纖維","1474","弘裕","266114","445","598","572","520","505","0.60","730","1.47","N","N","N","",
"紡織纖維","1475","業旺","4356","8","545","529","545","495","11.82","730","1.47","N","Y","N","主要係(1)111年新生代年輕人,工作年資2-3年為主,平均薪資約在35000~38000間,(2)公司111年帳上累積虧損係透過資本公積進行彌補,雖員工平均薪資較同業低,但較去年員工平均薪資及員工薪資中位數均有微幅上升",
"紡織纖維","1476","儒鴻","1697667","1697","1000","879","880","760","24.75","730","1.47","N","N","N","",
"紡織纖維","1477","聚陽","1134124","784","1447","1348","1321","1226","14.53","730","1.47","N","N","N","",
"電機機械","1503","士電","2065673","1969","1049","1016","854","841","3.86","815","3.25","N","N","N","",
"電機機械","1504","東元","1983051","2221","893","877","715","717","1.64","815","3.25","N","N","N","",
"電機機械","1506","正道","118775","216","550","521","518","466","0.43","815","3.25","N","N","N","",
"汽車工業","1512","瑞利","70725","129","548","537","500","492","-1.98","815","-2.37","N","Y","N","本公司基層人力占比高，占比為公司總人數65%且超過半數為外籍移工，因人力結構占比致影響公司整體薪資平均水準。",
"電機機械","1513","中興電","1401237","1611","870","809","769","702","5.21","815","3.25","N","N","N","",
