產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"居家生活","2947","振宇五金","304904","645","473","462","423","422","2.32","655","6.45","Y","N","N","本公司屬零售業形態，基層人員比例高，招募對象多元開放，重視人員學習與工作配合度；因應112年度展店數，晉用較多新進人員與社會新鮮人培訓，而營收及獲利未如預期，獎金發放部分縮減，影響整體平均薪資。",
"居家生活","2948","寶陞","15178","17","893","0","803","0","4.26","655","6.45","N","N","N","",
"數位雲端","2949","欣新網","90870","117","777","0","703","0","6.29","795","3.57","N","Y","N","本年度因業務所需以致新進員工增加，而本公司員工組成較為年輕，故年齡、資歷較淺。
且因本公司每年依員工績效考核結果予以晉升、調薪及發放績效獎金，而新進員工年資未滿一年進而拉低平均薪資所致。",
"文化創意業","3064","泰偉","46010","61","754","695","660","636","-0.27","1181","5.68","N","N","N","",
"光電業","3066","李洲","21470","37","580","545","527","485","-1.26","853","2.19","N","N","N","",
"其他電子業","3067","全域","8130","12","678","615","674","606","1.17","889","3.15","N","N","N","",
"電腦及週邊設備業","3071","協禧","99625","140","712","765","623","667","1.21","890","3.92","N","N","N","",
"綠能環保","3073","天方能源","10579","14","756","697","762","695","-0.99","876","3.91","N","N","N","",
"電子零組件業","3078","僑威","147569","119","1240","991","982","792","6.79","703","1.58","N","N","N","",
"通信網路業","3081","聯亞","264993","334","793","1008","684","842","-2.31","831","1.93","N","N","N","",
"文化創意業","3083","網龍","155492","200","777","769","647","623","0.01","1181","5.68","N","N","N","",
"數位雲端","3085","新零售","7655","12","638","532","635","504","-1.75","795","3.57","N","N","N","",
"文化創意業","3086","華義","25517","42","608","541","542","493","1.41","1181","5.68","N","N","N","",
"電腦及週邊設備業","3088","艾訊","629097","617","1020","1096","895","983","7.19","890","3.92","N","N","Y","111年度營收及獲利表現亮麗，較前一年度成長39%及54%，致獎金倍數成長，非經理人全時員工薪資平均數較前一年度成長10.7%，而112年度EPS雖較111年度成長，惟營收衰退9.31%，因111年度基期偏高及員工人數成長等原因。",
"其他電子業","3093","港建*","146330","129","1134","1171","1041","1090","2.02","889","3.15","N","N","N","",
"通信網路業","3095","及成","74185","106","700","645","653","537","-1.16","831","1.93","N","N","N","",
"半導體業","3105","穩懋","2732127","3068","891","831","771","683","-0.19","1201","5.40","N","N","N","",
"電子零組件業","3114","好德","55896","55","1016","1138","869","924","1.55","703","1.58","N","N","N","",
"電子零組件業","3115","富榮綱","5614","8","702","757","530","516","-0.68","703","1.58","N","N","N","",
"生技醫療業","3118","進階","104247","111","939","838","770","705","1.94","749","0.13","N","N","N","",
"半導體業","3122","笙泉","69101","61","1133","1324","1040","1224","-1.04","1201","5.40","N","N","N","",
"光電業","3128","昇銳","183049","283","647","642","512","556","0.90","853","2.19","N","N","N","",
"其他電子業","3131","弘塑","271340","174","1559","1707","1504","1660","21.56","889","3.15","N","N","N","",
"半導體業","3141","晶宏","188165","137","1373","1657","1280","1489","1.13","1201","5.40","N","N","N","",
"資訊服務業","3147","大綜","235381","251","938","873","660","633","7.38","948","3.39","N","Y","N","大綜產業類別歸屬資訊服務業，以經營類別粗略再分成軟體資訊服務及硬體資訊服務。於營業毛利率及軟體工程師和硬體工程師薪資水平是明顯差異，統計是依同業平均數相較，故產生如此之落差。",
"通信網路業","3152","璟德","196125","259","757","633","613","528","4.09","831","1.93","N","Y","N","本公司產品特性為少量多樣，故需要投入一定比例之工廠產線人力。112年公司直接人工(包含外籍移工)佔比逾5成，致使員工薪資平均數低於同業水準。",
"電機機械","3162","精確","9703","13","746","542","695","448","1.01","695","2.14","N","N","N","",
"通信網路業","3163","波若威","130293","128","1018","954","836","761","5.63","831","1.93","N","N","N","",
"半導體業","3169","亞信","98558","62","1590","2451","1392","1862","3.67","1201","5.40","N","N","N","",
"居家生活","3171","新洲","126385","150","843","882","527","483","2.08","655","6.45","N","N","Y","因2023年度人才市場缺工招聘留才皆不易，2023年非經理人全時員工平均薪資未達一年者比例提升，致使非經理人之全時員工薪資平均數較前一年度減少。",
