產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"其他","1435","中福","5165","5","1033","799","29.29%","625","601","3.99%","-0.27","969","3.42","N","N","N","","",
"建材營造","1436","華友聯","40562","37","1096","942","16.35%","1052","837","25.69%","19.93","974","2.65","N","N","N","","",
"其他","1437","勤益控","17181","21","818","772","5.96%","485","455","6.59%","3.25","969","3.42","N","N","N","","",
"建材營造","1438","三地開發","4119","7","588","467","25.91%","573","436","31.42%","-1.54","974","2.65","N","N","N","","",
"建材營造","1439","雋揚","6598","10","660","769","-14.17%","641","786","-18.45%","1.74","974","2.65","N","N","N","","",
"紡織纖維","1440","南紡","536440","879","610","619","-1.45%","558","556","0.36%","-0.34","758","1.55","N","N","N","","",
"紡織纖維","1441","大東","14471","24","603","608","-0.82%","547","551","-0.73%","1.63","758","1.55","N","Y","Y","因公司本業仍處於虧損階段，113年獲利係受惠轉投資高額股利分派所致，非本業績效產生，公司秉持「績效導向、公平合理」的薪酬原則，將個人績效作為薪酬調整與職涯發展的核心依據。","未來將持續優化績效與薪酬連動的清晰度與彈性，使高績效者獲得更具競爭力的報酬，強化留才與激勵效果。",
"建材營造","1442","名軒","39334","31","1269","1047","21.20%","1099","1021","7.64%","7.17","974","2.65","N","N","N","","",
"其他","1443","立益物流","62878","93","676","657","2.89%","675","650","3.85%","1.81","969","3.42","N","N","N","","",
"紡織纖維","1444","力麗","502368","924","544","513","6.04%","472","446","5.83%","0.28","758","1.55","N","N","N","","",
"紡織纖維","1445","大宇","172558","284","608","689","-11.76%","552","587","-5.96%","-1.52","758","1.55","N","N","N","","",
"紡織纖維","1446","宏和","24471","37","661","637","3.77%","535","515","3.88%","9.82","758","1.55","N","Y","N","本公司薪酬制度除保障年薪12個月及年終獎金外，營運獲利則另發放員工酬勞。","本公司113年度獲利主係處分板橋建案所致，此為非經常性之獲利，且公司本業獲利並未優於同業。",
"紡織纖維","1447","力鵬","767574","1257","611","558","9.50%","553","505","9.51%","0.04","758","1.55","N","N","N","","",
