產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"電器電纜","2061","風青","1170","2","585","377","55.17%","522","462","12.99%","-0.97","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","585","-0.97","N","N","N","","",
"鋼鐵工業","2063","世鎧精密","151414","271","559","555","0.72%","522","514","1.56%","1.72","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","756","0.99","N","Y","N","114年度調薪幅度約1.8%,,各類獎金及員工酬勞114年較113年減少約6%。114年發放非經理人之獎金增加6%,本公司獲利減少，但也增加非經理人福利，並每年調整員工薪資。","維持每年調升員工薪資，若公司獲利成長，將增加年終獎金額度及提高員工酬勞發放比率。",
"鋼鐵工業","2064","晉椿","91541","176","520","563","-7.64%","462","509","-9.23%","-1.30","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","756","0.99","N","N","N","","",
"鋼鐵工業","2065","世豐","163631","278","589","677","-13.00%","545","588","-7.31%","1.12","            579","不適用","-","            606","不適用","-","            541","不適用","-","            553","不適用","-","756","0.99","N","Y","N","係因受美國對等關稅及台幣匯率升值雙重影響，營收及獲利降低，致獎金減少而致。","本公司定期審視員工薪資，擬予調薪3%~5%；114年度調薪幅度約3%。",
"電機機械","2066","世德","125552","230","546","598","-8.70%","508","529","-3.97%","1.34","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"電機機械","2067","嘉鋼","82645","162","510","503","1.39%","459","479","-4.18%","-2.80","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"電機機械","2070","精湛","65823","94","700","718","-2.51%","665","670","-0.75%","2.30","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","Y","N","本公司基層員工占比較高，
加上地處傳產扣件產業區，
區域性薪資行情較低。","本公司自113年啟動員工持股信託，依EPS訂定公提金比例，讓員工共享經營成果。
另於114年起自獲利提撥之1%~6%員工酬勞，承諾至少60%分配予基層員工，以促進薪資公平，
並計劃於115年第三季進行全公司薪資調整。",
"鋼鐵工業","2073","雄順","101076","166","609","626","-2.72%","572","571","0.18%","-0.39","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","756","0.99","N","N","N","","",
"其他","2221","大甲","131899","208","634","573","10.65%","549","499","10.02%","2.31","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","712","1.85","N","Y","N","本公司薪酬政策綜合營運成果、績效及市場水準訂定。因外籍勞工約占30%，薪資結構差異致平均薪資受影響。獎酬依事業部獲利及個人績效核發，與經營成果連動，獲利提升則獎酬增加，反之亦然。","為提升員工薪酬與共享經營成果，本公司將持續強化各事業部營運效率與獲利能力，拓展市場並優化產品組合，透過製程改善、成本控管及人才培育提升績效，並適時檢討薪酬及獎酬制度，以兼顧永續發展與員工權益。",
"居家生活","2230","泰茂","51699","94","550","541","1.66%","538","490","9.80%","-1.05","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","708","5.75","N","N","N","","",
"電機機械","2235","謚源","98512","184","535","502","6.57%","497","454","9.47%","0.95","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"建材營造","2596","綠意","7113","9","790","777","1.67%","822","811","1.36%","1.86","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1054","2.09","N","N","N","","",
"數位雲端","2640","大車隊","316324","510","620","653","-5.05%","545","512","6.45%","9.01","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","872","3.20","N","Y","Y","本公司114年度營運持續成長，員工薪資中位數較前一年增加，顯示經營成果已適度反映於多數員工薪酬。非主管職全時員工平均薪資受人力結構及薪酬分布變動影響而減少，但整體薪酬與經營績效仍具合理關聯性。","本公司將持續依經營成果、市場水準及員工績效，滾動檢視薪酬制度與獎酬機制，以維持薪酬競爭力，並進一步強化員工與企業共享經營成果之連結。",
"航運業","2641","正德","50431","50","1009","988","2.13%","904","902","0.22%","2.01","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","919","3.07","N","N","N","","",
"航運業","2643","捷迅","60344","73","827","829","-0.24%","695","687","1.16%","6.30","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","919","3.07","N","Y","Y","114年退休及離職同仁薪資較新進同仁高所致。
本公司雖屬航運業，但以物流相關服務為主軸，因經營模式、市場規模及行業屬性的不同，薪酬行情本不應與航空及海運比較，本公司平均薪酬水準屬同業市場行情。","每年定期調薪及獎酬以凝聚員工之向心力。",
"建材營造","2718","全心投控","22592","13","1738","1199","44.95%","983","888","10.70%","16.94","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1054","2.09","N","N","N","","",
"觀光餐旅","2719","燦星旅","49514","93","532","622","-14.47%","487","528","-7.77%","-0.15","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"觀光餐旅","2729","瓦城","894960","1319","679","690","-1.59%","603","620","-2.74%","6.76","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"觀光餐旅","2732","六角","123812","191","648","630","2.86%","530","524","1.15%","1.09","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
